algorithm,instance,nodes,edges,diameter,diam_lB,diam_uB,radius,time,sep_size,balance,ratio,exit
LT,city/Berlin,28411,40603,353,233,354,1,119593,204,0.698808,0.017582,bfs_level
LT_DMD,city/Berlin,28411,40603,353,233,354,1,11450,204,0.698808,0.017582,post
LT_DMD_NE,city/Berlin,28411,40603,353,233,354,1,34954,204,0.698808,0.017582,post
LT_NE,city/Berlin,28411,40603,353,233,354,1,563,204,0.698808,0.017582,post
LT_NE_DMD,city/Berlin,28411,40603,353,233,354,1,7912,204,0.698808,0.017582,post
LT,city/Berlin,28411,40603,353,233,354,1,135034,204,0.698808,0.017582,bfs_level
LT_DMD,city/Berlin,28411,40603,353,233,354,1,3998,204,0.698808,0.017582,post
LT_DMD_NE,city/Berlin,28411,40603,353,233,354,1,15631,204,0.698808,0.017582,post
LT_NE,city/Berlin,28411,40603,353,233,354,1,709,204,0.698808,0.017582,post
LT_NE_DMD,city/Berlin,28411,40603,353,233,354,1,5122,204,0.698808,0.017582,post
LT,city/Berlin,28411,40603,353,233,354,1,66325,143,0.687239,0.012420,bfs_level
LT_DMD,city/Berlin,28411,40603,353,233,354,1,3596,143,0.687239,0.012420,post
LT_DMD_NE,city/Berlin,28411,40603,353,233,354,1,16008,143,0.687239,0.012420,post
LT_NE,city/Berlin,28411,40603,353,233,354,1,997,143,0.687239,0.012420,post
LT_NE_DMD,city/Berlin,28411,40603,353,233,354,1,9595,143,0.687239,0.012420,post
LT,city/Berlin,28411,40603,353,233,354,1,76058,139,0.688990,0.012052,bfs_level
LT_DMD,city/Berlin,28411,40603,353,233,354,1,3227,139,0.688990,0.012052,post
LT_DMD_NE,city/Berlin,28411,40603,353,233,354,1,24431,139,0.688990,0.012052,post
LT_NE,city/Berlin,28411,40603,353,233,354,1,990,139,0.688990,0.012052,post
LT_NE_DMD,city/Berlin,28411,40603,353,233,354,1,11954,139,0.688990,0.012052,post
LT,city/Berlin,28411,40603,353,233,354,1,89838,202,0.684321,0.017625,bfs_level
LT_DMD,city/Berlin,28411,40603,353,233,354,1,5148,202,0.684321,0.017625,post
LT_DMD_NE,city/Berlin,28411,40603,353,233,354,1,6739,202,0.684321,0.017625,post
LT_NE,city/Berlin,28411,40603,353,233,354,1,1116,202,0.684321,0.017625,post
LT_NE_DMD,city/Berlin,28411,40603,353,233,354,1,13867,202,0.684321,0.017625,post
LT,city/Berlin,28411,40603,353,233,354,1,101687,189,0.682585,0.016508,bfs_level
LT_DMD,city/Berlin,28411,40603,353,233,354,1,5303,189,0.682585,0.016508,post
LT_DMD_NE,city/Berlin,28411,40603,353,233,354,1,13045,189,0.682585,0.016508,post
LT_NE,city/Berlin,28411,40603,353,233,354,1,7982,189,0.682585,0.016508,post
LT_NE_DMD,city/Berlin,28411,40603,353,233,354,1,6328,189,0.682585,0.016508,post
LT,city/Berlin,28411,40603,353,233,354,1,250414,161,0.695271,0.013896,bfs_level
LT_DMD,city/Berlin,28411,40603,353,233,354,1,4912,161,0.695271,0.013896,post
LT_DMD_NE,city/Berlin,28411,40603,353,233,354,1,12795,161,0.695271,0.013896,post
LT_NE,city/Berlin,28411,40603,353,233,354,1,4280,161,0.695271,0.013896,post
LT_NE_DMD,city/Berlin,28411,40603,353,233,354,1,6159,161,0.695271,0.013896,post
