algorithm,instance,nodes,edges,diameter,diam_lB,diam_uB,radius,time,sep_size,balance,ratio,exit
HP,delaunay/delaunay_2000,2000,5994,31,30,54,27,7173,56,0.881897,0.061471,short_main_separator
HP,delaunay/delaunay_2000,2000,5994,31,30,54,27,6295,55,0.491564,0.085803,short_main_separator
HP,delaunay/delaunay_2000,2000,5994,31,30,54,27,6198,59,0.992813,0.061013,short_main_separator
HP,delaunay/delaunay_2000,2000,5994,31,30,54,27,6134,59,0.592289,0.081717,short_main_separator
HP,delaunay/delaunay_2000,2000,5994,31,30,54,27,6053,56,0.926660,0.059893,short_main_separator
HP,delaunay/delaunay_2000,2000,5994,31,30,54,27,6067,60,0.821596,0.068571,short_main_separator
HP,delaunay/delaunay_2000,2000,5994,31,30,54,27,6003,56,0.971602,0.058455,short_main_separator
HP,delaunay/delaunay_2000,2000,5994,31,30,54,27,6051,59,0.829406,0.067045,short_main_separator
HP,delaunay/delaunay_2000,2000,5994,31,30,54,27,5966,58,0.872710,0.064088,short_main_separator
HP,delaunay/delaunay_2000,2000,5994,31,30,54,27,5951,61,0.820657,0.069794,short_main_separator
HP,delaunay/delaunay_2000,2000,5994,31,30,54,27,5945,58,0.496148,0.090062,short_main_separator
HP,delaunay/delaunay_2000,2000,5994,31,30,54,27,5924,55,0.493856,0.085537,short_main_separator
HP,delaunay/delaunay_2000,2000,5994,31,30,54,27,5953,58,0.967579,0.060733,short_main_separator
HP,delaunay/delaunay_2000,2000,5994,31,30,54,27,5891,58,0.801484,0.067130,short_main_separator
HP,delaunay/delaunay_2000,2000,5994,31,30,54,27,5906,56,0.489655,0.087637,short_main_separator
HP,delaunay/delaunay_2000,2000,5994,31,30,54,27,5847,55,0.587755,0.076389,short_main_separator
HP,delaunay/delaunay_2000,2000,5994,31,30,54,27,5750,57,0.800741,0.065972,short_main_separator
HP,delaunay/delaunay_2000,2000,5994,31,30,54,27,5789,58,0.883608,0.063666,short_main_separator
HP,delaunay/delaunay_2000,2000,5994,31,30,54,27,5710,60,0.858238,0.066964,short_main_separator
HP,delaunay/delaunay_2000,2000,5994,31,30,54,27,5702,60,0.997940,0.061920,short_main_separator
HP,delaunay/delaunay_2000,2000,5994,31,30,54,27,5696,60,0.596708,0.082759,short_main_separator
HP,delaunay/delaunay_2000,2000,5994,31,30,54,27,5707,59,0.612126,0.080054,short_main_separator
HP,delaunay/delaunay_2000,2000,5994,31,30,54,27,5745,59,0.810634,0.067894,short_main_separator
HP,delaunay/delaunay_2000,2000,5994,31,30,54,27,5744,59,0.912315,0.063715,short_main_separator
HP,delaunay/delaunay_2000,2000,5994,31,30,54,27,5758,55,0.828008,0.062429,short_main_separator
HP,delaunay/delaunay_2000,2000,5994,31,30,54,27,5739,59,0.805581,0.068129,short_main_separator
HP,delaunay/delaunay_2000,2000,5994,31,30,54,27,5768,57,0.612448,0.077236,short_main_separator
HP,delaunay/delaunay_2000,2000,5994,31,30,54,27,5761,58,1.000000,0.059732,short_main_separator
HP,delaunay/delaunay_2000,2000,5994,31,30,54,27,5774,60,0.564516,0.085714,short_main_separator
HP,delaunay/delaunay_2000,2000,5994,31,30,54,27,5808,58,0.612957,0.078591,short_main_separator
HP,delaunay/delaunay_2000,2000,5994,31,30,54,27,5841,57,0.717949,0.070197,short_main_separator
HP,delaunay/delaunay_2000,2000,5994,31,30,54,27,5800,59,0.984663,0.061267,short_main_separator
HP,delaunay/delaunay_2000,2000,5994,31,30,54,27,5828,57,0.890078,0.062295,short_main_separator
HP,delaunay/delaunay_2000,2000,5994,31,30,54,27,5840,54,0.904110,0.058442,short_main_separator
HP,delaunay/delaunay_2000,2000,5994,31,30,54,27,5806,60,0.550759,0.087083,short_main_separator
HP,delaunay/delaunay_2000,2000,5994,31,30,54,27,5826,54,0.892996,0.058824,short_main_separator
HP,delaunay/delaunay_2000,2000,5994,31,30,54,27,5863,57,0.988741,0.059006,short_main_separator
HP,delaunay/delaunay_2000,2000,5994,31,30,54,27,5861,60,0.932271,0.064103,short_main_separator
HP,delaunay/delaunay_2000,2000,5994,31,30,54,27,5888,57,0.495766,0.088509,short_main_separator
HP,delaunay/delaunay_2000,2000,5994,31,30,54,27,5897,57,0.597862,0.078404,short_main_separator
HP,delaunay/delaunay_2000,2000,5994,31,30,54,27,5892,55,0.501931,0.084615,short_main_separator
HP,delaunay/delaunay_2000,2000,5994,31,30,54,27,5939,61,0.617181,0.082432,short_main_separator
HP,delaunay/delaunay_2000,2000,5994,31,30,54,27,5917,53,0.516355,0.079940,short_main_separator
HP,delaunay/delaunay_2000,2000,5994,31,30,54,27,5877,56,0.614618,0.075676,short_main_separator
HP,delaunay/delaunay_2000,2000,5994,31,30,54,27,5880,55,0.492709,0.085670,short_main_separator
HP,delaunay/delaunay_2000,2000,5994,31,30,54,27,5898,60,0.977574,0.062565,short_main_separator
HP,delaunay/delaunay_2000,2000,5994,31,30,54,27,5884,56,0.942058,0.059385,short_main_separator
HP,delaunay/delaunay_2000,2000,5994,31,30,54,27,5919,58,0.979613,0.060354,short_main_separator
HP,delaunay/delaunay_2000,2000,5994,31,30,54,27,5930,57,0.972589,0.059499,short_main_separator
HP,delaunay/delaunay_2000,2000,5994,31,30,54,27,5943,61,0.499613,0.094427,short_main_separator
HP,delaunay/delaunay_2000,2000,5994,31,30,54,27,5935,57,0.784206,0.066745,short_main_separator
HP,delaunay/delaunay_2000,2000,5994,31,30,54,27,5930,56,0.971602,0.058455,short_main_separator
HP,delaunay/delaunay_2000,2000,5994,31,30,54,27,5954,57,0.526316,0.085075,short_main_separator
HP,delaunay/delaunay_2000,2000,5994,31,30,54,27,5945,57,0.933333,0.060768,short_main_separator
HP,delaunay/delaunay_2000,2000,5994,31,30,54,27,5950,57,0.962626,0.059811,short_main_separator
HP,delaunay/delaunay_2000,2000,5994,31,30,54,27,5939,61,0.873430,0.067478,short_main_separator
HP,delaunay/delaunay_2000,2000,5994,31,30,54,27,5955,54,0.505027,0.082695,short_main_separator
HP,delaunay/delaunay_2000,2000,5994,31,30,54,27,5968,53,0.799445,0.061272,short_main_separator
HP,delaunay/delaunay_2000,2000,5994,31,30,54,27,5983,56,0.938185,0.059511,short_main_separator
HP,delaunay/delaunay_2000,2000,5994,31,30,54,27,5992,54,0.913471,0.058127,short_main_separator
HP,delaunay/delaunay_2000,2000,5994,31,30,54,27,5995,61,0.499613,0.094427,short_main_separator
HP,delaunay/delaunay_2000,2000,5994,31,30,54,27,5969,56,0.575365,0.078873,short_main_separator
HP,delaunay/delaunay_2000,2000,5994,31,30,54,27,5955,56,0.865643,0.062084,short_main_separator
HP,delaunay/delaunay_2000,2000,5994,31,30,54,27,5973,54,0.740608,0.065217,short_main_separator
HP,delaunay/delaunay_2000,2000,5994,31,30,54,27,5987,57,0.603135,0.077975,short_main_separator
HP,delaunay/delaunay_2000,2000,5994,31,30,54,27,5972,57,0.494615,0.088647,short_main_separator
HP,delaunay/delaunay_2000,2000,5994,31,30,54,27,5972,59,0.960606,0.062040,short_main_separator
HP,delaunay/delaunay_2000,2000,5994,31,30,54,27,5995,59,0.817416,0.067583,short_main_separator
HP,delaunay/delaunay_2000,2000,5994,31,30,54,27,5990,58,0.498457,0.089783,short_main_separator
HP,delaunay/delaunay_2000,2000,5994,31,30,54,27,5993,56,0.497689,0.086687,short_main_separator
HP,delaunay/delaunay_2000,2000,5994,31,30,54,27,5986,57,0.490031,0.089202,short_main_separator
HP,delaunay/delaunay_2000,2000,5994,31,30,54,27,5969,58,0.773516,0.068477,short_main_separator
HP,delaunay/delaunay_2000,2000,5994,31,30,54,27,5983,56,0.588235,0.077778,short_main_separator
HP,delaunay/delaunay_2000,2000,5994,31,30,54,27,5985,58,0.659829,0.075130,short_main_separator
HP,delaunay/delaunay_2000,2000,5994,31,30,54,27,5972,55,0.589052,0.076283,short_main_separator
HP,delaunay/delaunay_2000,2000,5994,31,30,54,27,6019,55,0.890185,0.060044,short_main_separator
HP,delaunay/delaunay_2000,2000,5994,31,30,54,27,5990,57,0.588716,0.079167,short_main_separator
HP,delaunay/delaunay_2000,2000,5994,31,30,54,27,6002,54,0.502703,0.082949,short_main_separator
HP,delaunay/delaunay_2000,2000,5994,31,30,54,27,6024,55,0.566023,0.078236,short_main_separator
HP,delaunay/delaunay_2000,2000,5994,31,30,54,27,5985,57,0.820993,0.065068,short_main_separator
HP,delaunay/delaunay_2000,2000,5994,31,30,54,27,5983,55,0.503091,0.084485,short_main_separator
HP,delaunay/delaunay_2000,2000,5994,31,30,54,27,5972,54,0.570621,0.076379,short_main_separator
HP,delaunay/delaunay_2000,2000,5994,31,30,54,27,5974,55,0.501931,0.084615,short_main_separator
HP,delaunay/delaunay_2000,2000,5994,31,30,54,27,6019,56,0.969605,0.058516,short_main_separator
HP,delaunay/delaunay_2000,2000,5994,31,30,54,27,6000,58,0.606286,0.079127,short_main_separator
HP,delaunay/delaunay_2000,2000,5994,31,30,54,27,6044,54,0.928642,0.057631,short_main_separator
HP,delaunay/delaunay_2000,2000,5994,31,30,54,27,6028,56,0.632242,0.074369,short_main_separator
HP,delaunay/delaunay_2000,2000,5994,31,30,54,27,6044,57,0.871869,0.062983,short_main_separator
HP,delaunay/delaunay_2000,2000,5994,31,30,54,27,5990,57,0.692509,0.071698,short_main_separator
HP,delaunay/delaunay_2000,2000,5994,31,30,54,27,5971,57,0.950803,0.060190,short_main_separator
HP,delaunay/delaunay_2000,2000,5994,31,30,54,27,6021,56,0.844402,0.062921,short_main_separator
HP,delaunay/delaunay_2000,2000,5994,31,30,54,27,6026,59,0.737690,0.071602,short_main_separator
HP,delaunay/delaunay_2000,2000,5994,31,30,54,27,6014,56,0.496536,0.086822,short_main_separator
HP,delaunay/delaunay_2000,2000,5994,31,30,54,27,6045,55,0.548567,0.079826,short_main_separator
HP,delaunay/delaunay_2000,2000,5994,31,30,54,27,6038,57,0.491174,0.089063,short_main_separator
