algorithm,instance,nodes,edges,diameter,diam_lB,diam_uB,radius,time,sep_size,balance,ratio,exit
LT,big_delaunay/delaunay_64000,64000,191994,-1,161,310,-1,454565,577,0.506198,0.027070,bfs_level
LT_DMD,big_delaunay/delaunay_64000,64000,191994,-1,161,310,-1,8632,437,0.518357,0.020138,post
LT_DMD_NE,big_delaunay/delaunay_64000,64000,191994,-1,161,310,-1,9202,402,0.519194,0.018496,post
LT_NE,big_delaunay/delaunay_64000,64000,191994,-1,161,310,-1,737,489,0.508288,0.022847,post
LT_NE_DMD,big_delaunay/delaunay_64000,64000,191994,-1,161,310,-1,9244,437,0.518357,0.020138,post
LT,big_delaunay/delaunay_64000,64000,191994,-1,161,310,-1,453676,610,0.499574,0.028885,bfs_level
LT_DMD,big_delaunay/delaunay_64000,64000,191994,-1,161,310,-1,14457,445,0.513106,0.020648,post
LT_DMD_NE,big_delaunay/delaunay_64000,64000,191994,-1,161,310,-1,14733,405,0.514059,0.018757,post
LT_NE,big_delaunay/delaunay_64000,64000,191994,-1,161,310,-1,727,504,0.502082,0.023747,post
LT_NE_DMD,big_delaunay/delaunay_64000,64000,191994,-1,161,310,-1,14344,445,0.513106,0.020648,post
LT,big_delaunay/delaunay_64000,64000,191994,-1,161,310,-1,521944,583,0.500071,0.027577,bfs_level
LT_DMD,big_delaunay/delaunay_64000,64000,191994,-1,161,310,-1,12663,436,0.512816,0.020235,post
LT_DMD_NE,big_delaunay/delaunay_64000,64000,191994,-1,161,310,-1,13589,409,0.513459,0.018958,post
LT_NE,big_delaunay/delaunay_64000,64000,191994,-1,161,310,-1,1064,476,0.502602,0.022402,post
LT_NE_DMD,big_delaunay/delaunay_64000,64000,191994,-1,161,310,-1,13546,436,0.512816,0.020235,post
LT,big_delaunay/delaunay_64000,64000,191994,-1,161,310,-1,516583,591,0.490994,0.028303,bfs_level
LT_DMD,big_delaunay/delaunay_64000,64000,191994,-1,161,310,-1,21276,423,0.503358,0.019871,post
LT_DMD_NE,big_delaunay/delaunay_64000,64000,191994,-1,161,310,-1,23051,406,0.503760,0.019057,post
LT_NE,big_delaunay/delaunay_64000,64000,191994,-1,161,310,-1,1215,476,0.493698,0.022671,post
LT_NE_DMD,big_delaunay/delaunay_64000,64000,191994,-1,161,310,-1,21018,423,0.503358,0.019871,post
LT,big_delaunay/delaunay_64000,64000,191994,-1,161,310,-1,534145,575,0.487593,0.027659,bfs_level
LT_DMD,big_delaunay/delaunay_64000,64000,191994,-1,161,310,-1,20403,430,0.499505,0.020306,post
LT_DMD_NE,big_delaunay/delaunay_64000,64000,191994,-1,161,310,-1,21413,405,0.500094,0.019103,post
LT_NE,big_delaunay/delaunay_64000,64000,191994,-1,161,310,-1,1406,473,0.489985,0.022641,post
LT_NE_DMD,big_delaunay/delaunay_64000,64000,191994,-1,161,310,-1,20057,430,0.499505,0.020306,post
LT,big_delaunay/delaunay_64000,64000,191994,-1,161,310,-1,523017,616,0.505236,0.028954,bfs_level
LT_DMD,big_delaunay/delaunay_64000,64000,191994,-1,161,310,-1,27175,434,0.518103,0.020006,post
LT_DMD_NE,big_delaunay/delaunay_64000,64000,191994,-1,161,310,-1,27128,409,0.518700,0.018831,post
LT_NE,big_delaunay/delaunay_64000,64000,191994,-1,161,310,-1,1562,494,0.508134,0.023087,post
LT_NE_DMD,big_delaunay/delaunay_64000,64000,191994,-1,161,310,-1,25213,434,0.518103,0.020006,post
LT,big_delaunay/delaunay_64000,64000,191994,-1,161,310,-1,543788,578,0.496367,0.027474,bfs_level
LT_DMD,big_delaunay/delaunay_64000,64000,191994,-1,161,310,-1,22220,435,0.508747,0.020295,post
LT_DMD_NE,big_delaunay/delaunay_64000,64000,191994,-1,161,310,-1,23763,398,0.509625,0.018537,post
LT_NE,big_delaunay/delaunay_64000,64000,191994,-1,161,310,-1,1530,484,0.498584,0.022904,post
LT_NE_DMD,big_delaunay/delaunay_64000,64000,191994,-1,161,310,-1,21645,435,0.508747,0.020295,post
LT,big_delaunay/delaunay_64000,64000,191994,-1,161,310,-1,529033,608,0.502607,0.028674,bfs_level
LT_DMD,big_delaunay/delaunay_64000,64000,191994,-1,161,310,-1,27080,430,0.515303,0.019891,post
LT_DMD_NE,big_delaunay/delaunay_64000,64000,191994,-1,161,310,-1,27490,410,0.515780,0.018948,post
LT_NE,big_delaunay/delaunay_64000,64000,191994,-1,161,310,-1,1600,495,0.505286,0.023221,post
LT_NE_DMD,big_delaunay/delaunay_64000,64000,191994,-1,161,310,-1,25507,430,0.515303,0.019891,post
LT,big_delaunay/delaunay_64000,64000,191994,-1,161,310,-1,536083,610,0.504843,0.028684,bfs_level
LT_DMD,big_delaunay/delaunay_64000,64000,191994,-1,161,310,-1,25215,444,0.517864,0.020476,post
LT_DMD_NE,big_delaunay/delaunay_64000,64000,191994,-1,161,310,-1,25807,416,0.518533,0.019160,post
LT_NE,big_delaunay/delaunay_64000,64000,191994,-1,161,310,-1,1618,500,0.507454,0.023391,post
LT_NE_DMD,big_delaunay/delaunay_64000,64000,191994,-1,161,310,-1,23414,444,0.517864,0.020476,post
LT,big_delaunay/delaunay_64000,64000,191994,-1,161,310,-1,529497,591,0.495460,0.028132,bfs_level
LT_DMD,big_delaunay/delaunay_64000,64000,191994,-1,161,310,-1,26410,431,0.507625,0.020136,post
LT_DMD_NE,big_delaunay/delaunay_64000,64000,191994,-1,161,310,-1,27747,405,0.508241,0.018899,post
LT_NE,big_delaunay/delaunay_64000,64000,191994,-1,161,310,-1,1654,486,0.497936,0.023019,post
LT_NE_DMD,big_delaunay/delaunay_64000,64000,191994,-1,161,310,-1,24874,431,0.507625,0.020136,post
LT,big_delaunay/delaunay_64000,64000,191994,-1,161,310,-1,544288,617,0.496612,0.029336,bfs_level
LT_DMD,big_delaunay/delaunay_64000,64000,191994,-1,161,310,-1,26729,442,0.509548,0.020602,post
LT_DMD_NE,big_delaunay/delaunay_64000,64000,191994,-1,161,310,-1,27562,416,0.510165,0.019367,post
LT_NE,big_delaunay/delaunay_64000,64000,191994,-1,161,310,-1,1691,505,0.499256,0.023884,post
LT_NE_DMD,big_delaunay/delaunay_64000,64000,191994,-1,161,310,-1,24848,442,0.509548,0.020602,post
LT,big_delaunay/delaunay_64000,64000,191994,-1,161,310,-1,535602,567,0.487222,0.027285,bfs_level
LT_DMD,big_delaunay/delaunay_64000,64000,191994,-1,161,310,-1,25249,418,0.497950,0.019777,post
LT_DMD_NE,big_delaunay/delaunay_64000,64000,191994,-1,161,310,-1,25962,400,0.498374,0.018909,post
LT_NE,big_delaunay/delaunay_64000,64000,191994,-1,161,310,-1,1664,456,0.489825,0.021827,post
LT_NE_DMD,big_delaunay/delaunay_64000,64000,191994,-1,161,310,-1,23385,418,0.497950,0.019777,post
LT,big_delaunay/delaunay_64000,64000,191994,-1,161,310,-1,542685,601,0.496283,0.028581,bfs_level
LT_DMD,big_delaunay/delaunay_64000,64000,191994,-1,161,310,-1,25287,441,0.509106,0.020567,post
LT_DMD_NE,big_delaunay/delaunay_64000,64000,191994,-1,161,310,-1,25832,414,0.509747,0.019284,post
LT_NE,big_delaunay/delaunay_64000,64000,191994,-1,161,310,-1,1666,497,0.498737,0.023519,post
LT_NE_DMD,big_delaunay/delaunay_64000,64000,191994,-1,161,310,-1,23709,441,0.509106,0.020567,post
LT,big_delaunay/delaunay_64000,64000,191994,-1,161,310,-1,537559,631,0.498014,0.029952,bfs_level
LT_DMD,big_delaunay/delaunay_64000,64000,191994,-1,161,310,-1,30388,445,0.510912,0.020706,post
LT_DMD_NE,big_delaunay/delaunay_64000,64000,191994,-1,161,310,-1,31087,415,0.511625,0.019283,post
LT_NE,big_delaunay/delaunay_64000,64000,191994,-1,161,310,-1,1707,501,0.501087,0.023635,post
LT_NE_DMD,big_delaunay/delaunay_64000,64000,191994,-1,161,310,-1,27998,445,0.510912,0.020706,post
LT,big_delaunay/delaunay_64000,64000,191994,-1,161,310,-1,545948,606,0.495741,0.028842,bfs_level
LT_DMD,big_delaunay/delaunay_64000,64000,191994,-1,161,310,-1,26526,442,0.508401,0.020633,post
