algorithm,instance,nodes,edges,diameter,diam_lB,diam_uB,radius,time,sep_size,balance,ratio,exit
LT,table/globe/globe_100_100,20002,40200,101,101,201,101,42130,356,0.499580,0.054393,bfs_level
LT_DMD,table/globe/globe_100_100,20002,40200,101,101,201,101,2199,350,0.528387,0.051516,post
LT_DMD_NE,table/globe/globe_100_100,20002,40200,101,101,201,101,2378,346,0.528698,0.050897,post
LT_NE,table/globe/globe_100_100,20002,40200,101,101,201,101,117,352,0.499886,0.053749,post
LT_NE_DMD,table/globe/globe_100_100,20002,40200,101,101,201,101,2490,350,0.528387,0.051516,post
LT,table/globe/globe_100_100,20002,40200,101,101,201,101,38248,332,0.483744,0.051770,bfs_level
LT_DMD,table/globe/globe_100_100,20002,40200,101,101,201,101,2586,326,0.509590,0.049082,post
LT_DMD_NE,table/globe/globe_100_100,20002,40200,101,101,201,101,2655,322,0.509897,0.048450,post
LT_NE,table/globe/globe_100_100,20002,40200,101,101,201,101,122,328,0.484046,0.051114,post
LT_NE_DMD,table/globe/globe_100_100,20002,40200,101,101,201,101,2671,326,0.509590,0.049082,post
LT,table/globe/globe_100_100,20002,40200,101,101,201,101,41743,344,0.491842,0.053078,bfs_level
LT_DMD,table/globe/globe_100_100,20002,40200,101,101,201,101,2721,338,0.519159,0.050298,post
LT_DMD_NE,table/globe/globe_100_100,20002,40200,101,101,201,101,2865,334,0.519468,0.049673,post
LT_NE,table/globe/globe_100_100,20002,40200,101,101,201,101,137,340,0.492145,0.052429,post
LT_NE_DMD,table/globe/globe_100_100,20002,40200,101,101,201,101,2966,338,0.519159,0.050298,post
LT,table/globe/globe_100_100,20002,40200,101,101,201,101,40952,352,0.476001,0.055547,bfs_level
LT_DMD,table/globe/globe_100_100,20002,40200,101,101,201,101,2952,346,0.503672,0.052552,post
LT_DMD_NE,table/globe/globe_100_100,20002,40200,101,101,201,101,3061,342,0.503978,0.051913,post
LT_NE,table/globe/globe_100_100,20002,40200,101,101,201,101,156,348,0.476301,0.054881,post
LT_NE_DMD,table/globe/globe_100_100,20002,40200,101,101,201,101,3091,346,0.503672,0.052552,post
LT,table/globe/globe_100_100,20002,40200,101,101,201,101,43483,200,0.507346,0.030008,bfs_level
LT_DMD,table/globe/globe_100_100,20002,40200,101,101,201,101,1377,200,0.530649,0.029133,post
LT_DMD_NE,table/globe/globe_100_100,20002,40200,101,101,201,101,1330,200,0.530649,0.029133,post
LT_NE,table/globe/globe_100_100,20002,40200,101,101,201,101,145,200,0.507346,0.030008,post
LT_NE_DMD,table/globe/globe_100_100,20002,40200,101,101,201,101,1290,200,0.530649,0.029133,post
LT,table/globe/globe_100_100,20002,40200,101,101,201,101,42869,200,0.490553,0.030689,bfs_level
LT_DMD,table/globe/globe_100_100,20002,40200,101,101,201,101,1595,200,0.513336,0.029775,post
LT_DMD_NE,table/globe/globe_100_100,20002,40200,101,101,201,101,1565,200,0.513336,0.029775,post
LT_NE,table/globe/globe_100_100,20002,40200,101,101,201,101,170,200,0.490553,0.030689,post
LT_NE_DMD,table/globe/globe_100_100,20002,40200,101,101,201,101,1532,200,0.513336,0.029775,post
LT,table/globe/globe_100_100,20002,40200,101,101,201,101,45701,200,0.486972,0.030840,bfs_level
LT_DMD,table/globe/globe_100_100,20002,40200,101,101,201,101,1526,200,0.509644,0.029918,post
LT_DMD_NE,table/globe/globe_100_100,20002,40200,101,101,201,101,1474,200,0.509644,0.029918,post
LT_NE,table/globe/globe_100_100,20002,40200,101,101,201,101,178,200,0.486972,0.030840,post
LT_NE_DMD,table/globe/globe_100_100,20002,40200,101,101,201,101,1438,200,0.509644,0.029918,post
LT,table/globe/globe_100_100,20002,40200,101,101,201,101,46521,200,0.506428,0.030044,bfs_level
LT_DMD,table/globe/globe_100_100,20002,40200,101,101,201,101,1549,200,0.529703,0.029167,post
LT_DMD_NE,table/globe/globe_100_100,20002,40200,101,101,201,101,1569,200,0.529703,0.029167,post
LT_NE,table/globe/globe_100_100,20002,40200,101,101,201,101,182,200,0.506428,0.030044,post
LT_NE_DMD,table/globe/globe_100_100,20002,40200,101,101,201,101,1508,200,0.529703,0.029167,post
LT,table/globe/globe_100_100,20002,40200,101,101,201,101,45653,200,0.486079,0.030878,bfs_level
LT_DMD,table/globe/globe_100_100,20002,40200,101,101,201,101,1566,200,0.508724,0.029954,post
LT_DMD_NE,table/globe/globe_100_100,20002,40200,101,101,201,101,1548,200,0.508724,0.029954,post
LT_NE,table/globe/globe_100_100,20002,40200,101,101,201,101,198,200,0.486079,0.030878,post
LT_NE_DMD,table/globe/globe_100_100,20002,40200,101,101,201,101,1526,200,0.508724,0.029954,post
LT,table/globe/globe_100_100,20002,40200,101,101,201,101,45148,200,0.501858,0.030225,bfs_level
LT_DMD,table/globe/globe_100_100,20002,40200,101,101,201,101,1542,200,0.524990,0.029338,post
LT_DMD_NE,table/globe/globe_100_100,20002,40200,101,101,201,101,1597,200,0.524990,0.029338,post
LT_NE,table/globe/globe_100_100,20002,40200,101,101,201,101,201,200,0.501858,0.030225,post
LT_NE_DMD,table/globe/globe_100_100,20002,40200,101,101,201,101,1511,200,0.524990,0.029338,post
LT,table/globe/globe_100_100,20002,40200,101,101,201,101,44614,200,0.490553,0.030689,bfs_level
LT_DMD,table/globe/globe_100_100,20002,40200,101,101,201,101,1600,200,0.513336,0.029775,post
LT_DMD_NE,table/globe/globe_100_100,20002,40200,101,101,201,101,1589,200,0.513336,0.029775,post
LT_NE,table/globe/globe_100_100,20002,40200,101,101,201,101,205,200,0.490553,0.030689,post
LT_NE_DMD,table/globe/globe_100_100,20002,40200,101,101,201,101,1582,200,0.513336,0.029775,post
LT,table/globe/globe_100_100,20002,40200,101,101,201,101,47188,200,0.505054,0.030098,bfs_level
LT_DMD,table/globe/globe_100_100,20002,40200,101,101,201,101,1688,200,0.528286,0.029218,post
LT_DMD_NE,table/globe/globe_100_100,20002,40200,101,101,201,101,1747,200,0.528286,0.029218,post
LT_NE,table/globe/globe_100_100,20002,40200,101,101,201,101,214,200,0.505054,0.030098,post
LT_NE_DMD,table/globe/globe_100_100,20002,40200,101,101,201,101,1675,200,0.528286,0.029218,post
LT,table/globe/globe_100_100,20002,40200,101,101,201,101,46914,200,0.502770,0.030189,bfs_level
LT_DMD,table/globe/globe_100_100,20002,40200,101,101,201,101,1669,200,0.525930,0.029304,post
LT_DMD_NE,table/globe/globe_100_100,20002,40200,101,101,201,101,1765,200,0.525930,0.029304,post
LT_NE,table/globe/globe_100_100,20002,40200,101,101,201,101,218,200,0.502770,0.030189,post
